delivery_date,split,last_settlement_price,settlement_price,price_change_eur_mwh,target_direction,pnl_long_eur,pnl_short_eur,gen_solar_mw_mean,gen_wind_onshore_mw_mean,gen_wind_offshore_mw_mean,gen_fossil_gas_mw_mean,gen_fossil_hard_coal_mw_mean,gen_fossil_brown_coal_lignite_mw_mean,gen_nuclear_mw_mean,load_actual_mw_mean,load_forecast_mw_mean,forecast_solar_mw_mean,forecast_wind_onshore_mw_mean,forecast_wind_offshore_mw_mean,weather_temperature_2m_degc_mean,weather_wind_speed_10m_kmh_mean,weather_shortwave_radiation_wm2_mean,price_fr_eur_mwh_mean,price_nl_eur_mwh_mean,price_at_eur_mwh_mean,price_pl_eur_mwh_mean,price_cz_eur_mwh_mean,price_dk_1_eur_mwh_mean,flow_fr_net_import_mw_mean,flow_nl_net_import_mw_mean,carbon_price_usd_mean,gas_price_usd_mean,price_mean,price_max,price_min,price_std
2019-01-01,train,28.32,-6.8758333333333335,-35.19583333333333,-1,-844.7,844.7,0.1225,20323.97,3133.985,3281.955,2811.9175,6335.077499999999,9001.475,43721.7575,43647.545,0.0,18879.79,5068.9,,,,51.0,68.92,33.48,100.63,8.5,28.32,-1044.08,-1692.0,,,28.32,28.32,28.32,
2019-01-02,train,-6.8758333333333335,29.104166666666668,35.980000000000004,1,863.5200000000001,-863.5200000000001,405.78833333333336,32035.105,2227.001041666667,2874.8214583333333,2577.2070833333332,5015.443229166666,7006.402395833334,46190.54739583333,47744.07020833334,413.4023958333334,31139.542708333334,4523.7921875,4.4375,27.016666666666666,7.375,41.33041666666667,52.126666666666665,13.468333333333334,58.60333333333333,11.240416666666667,-6.504166666666667,-806.1866666666666,-1765.4312499999999,,,-6.8758333333333335,10.07,-33.57,10.78663944793327
2019-01-03,train,29.104166666666668,58.04208333333333,28.937916666666663,1,694.5099999999999,-694.5099999999999,1252.3636458333333,24710.584375000002,3233.8209375,4670.065729166667,5691.623958333334,9494.166666666666,8360.781666666668,58737.817708333336,55944.56458333333,1191.0254166666666,24192.978333333333,4118.932916666667,0.6958333333333333,20.716666666666665,45.208333333333336,54.017500000000005,55.72083333333333,37.543749999999996,173.15,39.79541666666667,30.41416666666667,-183.78,-1243.3820833333334,17.924999237060547,22.475000381469727,29.104166666666668,62.11,-48.93,40.08391371118591
2019-01-04,train,58.04208333333333,48.91708333333333,-9.125,-1,-219.0,219.0,920.5880208333333,9366.417187500001,2599.8579166666664,8379.274583333334,12167.512604166666,14170.762916666667,9482.884791666665,61747.539375,57691.7809375,942.6522916666668,10048.293333333333,2879.674791666667,-1.7333333333333334,11.795833333333334,36.75,61.6,62.48500000000001,59.67083333333333,236.70916666666668,59.27041666666667,56.8975,-1179.5766666666666,-1959.8295833333334,16.642499923706055,22.300832748413086,58.04208333333333,69.55,43.88,9.148248099887839
2019-01-05,train,48.91708333333333,43.15541666666667,-5.761666666666663,-1,-138.27999999999992,138.27999999999992,392.28125,19177.19875,3763.7549999999997,6921.967916666667,8069.306562499999,14684.884791666665,9223.059583333334,62562.33739583333,55457.005625,375.7546875,17837.964791666665,4346.913333333333,0.4124999999999999,18.0125,5.833333333333333,65.60000000000001,63.23708333333334,53.67208333333334,240.49541666666667,52.39625,48.61541666666667,-1208.9929166666668,-1666.7695833333335,16.875,22.789375066757202,48.91708333333333,55.78,26.9,7.091700280068162
2019-01-06,train,43.15541666666667,54.367916666666666,11.212499999999999,1,269.09999999999997,-269.09999999999997,275.2089583333333,21192.898645833335,3709.9022916666668,5539.648854166667,5483.950208333333,13209.211875,9151.1153125,55182.81208333333,52843.88145833334,261.3178125,19964.51104166667,3769.7930208333332,5.045833333333333,20.0,5.25,62.215,57.42875,52.834583333333335,224.19958333333332,44.12083333333334,44.562916666666666,-1143.00375,-1487.5833333333333,16.875,22.93000030517578,43.15541666666667,61.64,18.37,14.02236628891785
2019-01-07,train,54.367916666666666,50.64208333333334,-3.725833333333327,-1,-89.41999999999985,89.41999999999985,482.2683333333334,7671.564583333333,2644.599791666667,6590.688020833334,8767.392916666666,15335.154375,9396.072604166666,50843.512500000004,49207.168750000004,458.683125,7195.665416666667,2235.9777083333333,4.641666666666667,11.725,19.875,55.49916666666667,54.468333333333334,54.76333333333333,214.97875,52.30916666666667,50.93958333333333,-1683.405,-2015.9675,16.875,22.93000030517578,54.367916666666666,67.37,44.23,6.855470033780179
2019-01-08,train,50.64208333333334,34.58416666666667,-16.05791666666667,-1,-385.3900000000001,385.3900000000001,423.3297916666667,16552.9046875,2969.70375,7899.276666666666,10671.808333333332,14330.324583333333,9274.019791666668,64506.442083333335,58152.10833333334,372.04604166666667,15175.478541666665,3276.344270833333,3.6666666666666665,17.133333333333333,10.25,62.53958333333333,56.990833333333335,61.20791666666667,261.1425,61.33083333333334,46.99166666666667,-218.07708333333335,-1810.575,15.837499618530272,21.821667273839314,50.64208333333334,74.93,1.84,18.78845297080715
2019-01-09,train,34.58416666666667,41.102916666666665,6.518749999999997,1,156.44999999999993,-156.44999999999993,541.8455208333334,36607.15010416667,3704.745833333333,5318.007500000001,4376.638333333333,8899.3721875,9021.194270833334,67597.91083333334,62377.701875,437.7851041666667,37007.63447916667,4033.6740625,3.4333333333333336,30.47083333333333,9.833333333333334,57.68,50.5,52.785,251.03958333333333,55.88375,34.58416666666667,1.5412500000000051,-1929.0529166666665,16.295000076293945,21.973333597183228,34.58416666666667,46.93,7.78,12.193687931151873
2019-01-10,train,41.102916666666665,67.72875,26.62583333333334,1,639.0200000000002,-639.0200000000002,527.4683333333334,27268.845,4473.625729166667,6675.427500000001,7827.890833333334,11582.489583333334,9271.81125,68434.17208333334,62589.832083333335,610.9683333333334,28870.751354166667,4737.11,0.2041666666666667,20.708333333333332,11.375,58.138749999999995,54.03875,57.83625,257.00333333333333,58.06458333333333,41.45166666666667,-30.85958333333333,-1720.7404166666668,15.770000457763672,21.79708282152811,41.102916666666665,55.94,3.43,16.19073875886987
2019-01-11,train,67.72875,49.89333333333334,-17.835416666666667,-1,-428.05,428.05,448.15124999999995,6330.013229166667,945.7940625,10340.314895833333,14998.669791666667,14342.468020833332,9482.499583333332,66628.22083333334,63276.463749999995,623.1822916666666,7839.714270833334,1147.8522916666668,-0.8791666666666668,10.387500000000001,23.0,69.32666666666667,67.75041666666667,68.59333333333333,284.38124999999997,67.71416666666667,59.475833333333334,406.6979166666667,-1054.2408333333333,15.619999885559082,21.68437425295512,67.72875,85.15,47.11,13.689814148228724
2019-01-12,train,49.89333333333334,39.80625,-10.08708333333334,-1,-242.09000000000015,242.09000000000015,216.17999999999998,16888.773229166665,4338.6259375,8905.2103125,11585.091979166667,14269.298958333333,9124.459583333333,67588.9384375,61668.47510416666,307.8847916666667,16740.5725,4472.266875,1.3416666666666668,17.7625,7.166666666666667,65.20666666666666,52.745000000000005,56.73083333333333,240.54625,57.745416666666664,48.874583333333334,-615.9808333333334,-1826.6837500000001,16.149999618530273,22.13416584332784,49.89333333333334,62.92,42.2,6.428910697281707
2019-01-13,train,39.80625,13.997083333333334,-25.809166666666663,-1,-619.4199999999998,619.4199999999998,281.9004166666667,26137.57864583333,4470.003125,5284.599895833334,4829.516145833333,10580.816458333333,8902.018020833333,57549.838125,54611.30427083333,279.87666666666667,24823.54354166667,4450.33125,3.6833333333333336,22.583333333333332,11.75,53.53666666666667,51.232499999999995,44.23374999999999,210.57708333333335,46.59583333333333,48.10791666666666,-677.3829166666667,-1895.6616666666666,16.149999618530273,22.2549991607666,39.80625,46.29,23.35,5.663137717233073
2019-01-14,train,13.997083333333334,34.2075,20.210416666666667,1,485.05,-485.05,246.20885416666667,33520.910208333335,4467.5959375,3369.0237500000003,2504.141666666667,5454.074375,8647.745312500001,53978.747187500005,52417.64124999999,201.52552083333333,32411.8503125,4498.073333333333,5.054166666666666,26.17916666666667,6.833333333333333,45.72833333333333,46.236250000000005,38.81916666666667,185.09041666666667,39.77708333333333,30.8025,112.38125000000001,-1627.4758333333332,16.149999618530273,22.2549991607666,13.997083333333334,30.81,-7.28,11.852402610649351
2019-01-15,train,34.2075,45.199999999999996,10.992499999999993,1,263.8199999999998,-263.8199999999998,1022.3410416666667,30345.806770833336,4335.396770833334,6150.881770833334,6007.2434375,8408.595,8592.9203125,66116.25177083333,62345.92166666667,1107.3858333333333,31980.523750000004,4583.998437499999,1.5250000000000001,26.891666666666666,39.291666666666664,57.21125,54.95416666666666,40.0025,205.15291666666667,47.92666666666667,34.31166666666667,-76.11000000000001,-1590.9070833333333,15.84000015258789,21.79583255449931,34.2075,51.66,-15.04,23.02408327967837
2019-01-16,train,45.199999999999996,45.07875000000001,-0.1212499999999892,-1,-2.909999999999741,2.909999999999741,610.6342708333333,31314.175,3441.8865625,6847.260520833333,7425.646145833333,10515.787083333335,9026.943333333333,67615.57322916666,65189.709062500006,542.3275,28729.259791666667,4600.665,2.3208333333333333,22.375,13.833333333333334,60.96625,50.99458333333333,49.451249999999995,223.55875,49.336666666666666,50.62125,-1211.5062500000001,-2026.9025000000001,16.0049991607666,21.932291507720947,45.199999999999996,58.38,29.23,9.645449929776534
2019-01-17,train,45.07875000000001,43.499583333333334,-1.5791666666666728,-1,-37.90000000000015,37.90000000000015,1267.7186458333333,25972.986041666667,4513.50125,7387.6359375,6785.495729166666,12184.082187499998,9011.019479166667,67669.53927083334,65551.425,963.9804166666667,24210.619687500002,4628.756666666667,3.5666666666666664,18.270833333333332,18.25,62.74541666666667,51.373333333333335,49.873333333333335,230.22541666666666,48.185833333333335,50.91958333333333,-184.13958333333335,-1696.2658333333331,16.540000915527344,22.003957668940227,45.07875000000001,55.73,26.35,10.399350862893566
