year,cluster_type,cluster_id,n_members,early_avg_weight,late_avg_weight,weight_shift
2024,forecast,cluster_1,11,0.8948,0.9125,0.0176
2024,forecast,cluster_2,2,0.0015,0.0,-0.0015
2024,forecast,cluster_3,49,0.052,0.0334,-0.0186
2024,forecast,cluster_4,1,0.0036,0.0,-0.0036
2024,forecast,cluster_5,1,0.0037,0.0,-0.0037
2024,forecast,cluster_6,1,0.0042,0.0,-0.0042
2024,forecast,cluster_7,1,0.0034,0.0,-0.0034
2024,forecast,cluster_8,1,0.0368,0.0541,0.0173
2024,profit,cluster_1,24,0.0087,0.0,-0.0087
2024,profit,cluster_2,10,0.8826,0.9125,0.0298
2024,profit,cluster_3,4,0.0374,0.0541,0.0167
2024,profit,cluster_4,11,0.0426,0.0,-0.0426
2024,profit,cluster_5,4,0.0098,0.0,-0.0098
2024,profit,cluster_6,9,0.0163,0.0334,0.0171
2024,profit,cluster_7,3,0.0026,0.0,-0.0026
2024,profit,cluster_8,2,0.0,0.0,0.0
2025,forecast,cluster_1,12,0.9197,0.9147,-0.005
2025,forecast,cluster_2,49,0.0469,0.0298,-0.0171
2025,forecast,cluster_3,1,0.0026,0.0,-0.0026
2025,forecast,cluster_4,1,0.021,0.027,0.006
2025,forecast,cluster_5,1,0.0018,0.0,-0.0018
2025,forecast,cluster_6,1,0.0043,0.0085,0.0042
2025,forecast,cluster_7,1,0.0027,0.0,-0.0027
2025,forecast,cluster_8,1,0.001,0.0,-0.001
2025,profit,cluster_1,13,0.9225,0.9147,-0.0078
2025,profit,cluster_2,4,0.0089,0.0085,-0.0003
2025,profit,cluster_3,17,0.0463,0.0314,-0.0149
2025,profit,cluster_4,1,0.0003,0.0,-0.0003
2025,profit,cluster_5,5,0.0109,0.0254,0.0145
2025,profit,cluster_6,3,0.0022,0.0,-0.0022
2025,profit,cluster_7,2,0.0003,0.0,-0.0003
2025,profit,cluster_8,22,0.0085,0.0,-0.0085
