experiment_type,experiment_id,label,ema_alpha,init_mode,ablation,year,converged,n_iterations,final_delta,mae,rmse,bias,n_strategies,final_active_count,final_weight_entropy,final_top1_weight,outcome_class,elapsed_s
ema_sweep,ema_alpha_0.01,EMA alpha=0.01,0.01,default,none,2024,True,425,0.009838,10.3198,17.5556,-0.3524,67,9,1.7269,0.3014,healthy_convergence,0.07
ema_sweep,ema_alpha_0.05,EMA alpha=0.05,0.05,default,none,2024,False,500,0.43633,10.2989,17.5168,-0.2859,67,7,1.4929,0.4416,non_converged,0.09
ema_sweep,ema_alpha_0.10,EMA alpha=0.1,0.1,default,none,2024,False,500,1.772909,10.2972,17.53,-0.4058,67,8,1.8491,0.2877,non_converged,0.08
ema_sweep,ema_alpha_0.20,EMA alpha=0.2,0.2,default,none,2024,False,500,14.248634,10.3461,17.5051,0.2467,67,2,0.5789,0.7343,non_converged,0.08
ema_sweep,ema_alpha_0.30,EMA alpha=0.3,0.3,default,none,2024,False,500,6.208781,10.2617,17.4657,0.4073,67,2,0.2652,0.9255,non_converged,0.09
ema_sweep,ema_alpha_0.50,EMA alpha=0.5,0.5,default,none,2024,False,500,25.436513,10.9804,18.5184,-1.4997,67,12,2.3785,0.1043,non_converged,0.09
ema_sweep,ema_alpha_1.00,EMA alpha=1.0,1.0,default,none,2024,False,500,81.422371,19.3922,28.3918,0.0128,67,51,3.8314,0.0429,non_converged,0.09
init_sensitivity,init_default,Init: last settlement (default),0.1,default,none,2024,False,500,1.772909,10.2972,17.53,-0.4058,67,8,1.8491,0.2877,non_converged,0.09
init_sensitivity,init_forecast_mean,Init: mean of all strategy forecasts,0.1,forecast_mean,none,2024,False,500,1.281003,10.2971,17.533,-0.4084,67,9,1.8416,0.2634,non_converged,0.09
init_sensitivity,init_constant_50,Init: constant 50 EUR/MWh,0.1,constant_50,none,2024,False,500,2.1097,10.2943,17.5163,-0.3168,67,5,1.4046,0.4613,non_converged,0.12
