regime,cluster_id,n_members,n_dates,mae,bias
low_vol,1,11,185,8.7101,-1.8249
low_vol,2,2,185,20.199,-5.1289
low_vol,3,49,185,15.1678,-1.1843
low_vol,4,1,185,20.1635,-3.5182
low_vol,5,1,185,21.9356,-2.3677
low_vol,6,1,185,19.862,0.6235
low_vol,7,1,185,19.3344,-0.6439
low_vol,8,1,185,22.8087,-0.509
high_vol,1,11,181,13.3631,-2.2067
high_vol,2,2,181,30.3911,-5.0386
high_vol,3,49,181,25.6969,-1.2638
high_vol,4,1,181,28.8348,-4.9211
high_vol,5,1,181,29.2576,-3.2748
high_vol,6,1,181,28.6457,-2.8044
high_vol,7,1,181,33.8696,0.9595
high_vol,8,1,181,31.5793,-0.2977
low_vol,1,12,185,8.0804,2.2269
low_vol,2,49,185,16.4974,-2.1962
low_vol,3,1,185,21.7623,1.8495
low_vol,4,1,185,22.0605,-9.2589
low_vol,5,1,185,25.4352,14.115
low_vol,6,1,185,18.9605,-0.3858
low_vol,7,1,185,22.229,4.858
low_vol,8,1,185,22.0135,-0.2877
high_vol,1,12,180,10.5681,-1.1473
high_vol,2,49,180,22.1743,-1.4409
high_vol,3,1,180,29.4557,-2.6411
high_vol,4,1,180,25.5346,-6.9225
high_vol,5,1,180,27.9003,2.8295
high_vol,6,1,180,34.238,0.0664
high_vol,7,1,180,27.5032,-4.0682
high_vol,8,1,180,31.1224,0.2007
