id,label,alpha,converged,n_iterations,final_delta,mae,mae_iter0,monotone_tail,year,elapsed_s
BASE,Spec baseline (no blending),1.0,False,2000,81.422371,19.3922,22.019,0,2024,0.32
H2_a95,EMA alpha=0.95 (fine),0.95,False,2000,53.572653,11.7352,22.019,1,2024,0.26
H2_a90,EMA alpha=0.9 (fine),0.9,False,2000,51.46356,11.5432,22.019,1,2024,0.26
H2_a85,EMA alpha=0.85 (fine),0.85,False,2000,49.12655,11.4564,22.019,1,2024,0.25
H1_a80,EMA alpha=0.8,0.8,False,2000,49.288934,11.2197,22.019,1,2024,0.25
H1_a70,EMA alpha=0.7,0.7,False,2000,13.602621,10.7031,22.019,2,2024,0.27
H1_a60,EMA alpha=0.6,0.6,False,2000,30.356111,10.9055,22.019,1,2024,0.26
H1_a50,EMA alpha=0.5,0.5,False,2000,10.896738,10.3343,22.019,2,2024,0.27
H1_a40,EMA alpha=0.4,0.4,False,2000,22.314474,10.3785,22.019,1,2024,0.24
H1_a30,EMA alpha=0.3,0.3,False,2000,6.208782,10.2617,22.019,3,2024,0.26
H1_a20,EMA alpha=0.2,0.2,False,2000,2.098068,10.3077,22.019,2,2024,0.25
H1_a10,EMA alpha=0.1,0.1,False,2000,1.395233,10.3051,22.019,0,2024,0.22
BASE,Spec baseline (no blending),1.0,False,2000,42.49067,10.0085,20.5782,1,2025,0.26
H2_a95,EMA alpha=0.95 (fine),0.95,False,2000,37.276044,9.9771,20.5782,1,2025,0.27
H2_a90,EMA alpha=0.9 (fine),0.9,False,2000,35.733011,9.6096,20.5782,1,2025,0.27
H2_a85,EMA alpha=0.85 (fine),0.85,False,2000,12.177357,9.2865,20.5782,2,2025,0.27
H1_a80,EMA alpha=0.8,0.8,False,2000,26.040754,9.1247,20.5782,1,2025,0.28
H1_a70,EMA alpha=0.7,0.7,False,2000,27.296667,11.9736,20.5782,0,2025,0.3
H1_a60,EMA alpha=0.6,0.6,False,2000,12.012105,8.9982,20.5782,1,2025,0.28
H1_a50,EMA alpha=0.5,0.5,False,2000,2.751741,8.9558,20.5782,2,2025,0.27
H1_a40,EMA alpha=0.4,0.4,False,2000,2.953007,8.9758,20.5782,3,2025,0.28
H1_a30,EMA alpha=0.3,0.3,False,2000,9.613158,9.225,20.5782,0,2025,0.28
H1_a20,EMA alpha=0.2,0.2,False,2000,4.591912,8.9197,20.5782,0,2025,0.27
H1_a10,EMA alpha=0.1,0.1,True,327,0.0,8.9066,20.5782,3,2025,0.04
