case_id,iteration,convergence_delta,mae,rmse,bias,active_count,weight_entropy,top1_strategy,top1_weight,top3_strategies,top3_weights,dominant_cluster,cluster_weight
ealost_2024,0,inf,3.2952,3.8807,-1.1022,60,3.8014,SVMDirection,0.030344,SVMDirection; Neural Net; Logistic Direction,0.030344; 0.030332; 0.030300,3,0.6109
ealost_2024,1,2.815095,2.8503,3.8991,-2.4884,40,3.3176,Ridge Regression,0.056472,Ridge Regression; Lasso Calendar Augmented; Lasso Regression,0.056472; 0.055253; 0.055253,1,0.5997
ealost_2024,2,2.595475,3.756,4.9029,-3.756,40,3.2918,Ridge Regression,0.059225,Ridge Regression; Lasso Calendar Augmented; Lasso Regression,0.059225; 0.057837; 0.057837,1,0.6269
ealost_2024,3,2.405822,4.9213,6.297,-4.9213,38,3.2328,Ridge Regression,0.062685,Ridge Regression; PLSRegression; Lasso Calendar Augmented,0.062685; 0.060865; 0.060780,1,0.6583
ealost_2024,4,2.20029,6.2856,7.7571,-5.9787,38,3.1853,Ridge Regression,0.06475,Ridge Regression; Lasso Calendar Augmented; Lasso Regression,0.064750; 0.063435; 0.063435,1,0.6837
ealost_2024,5,2.11272,7.9142,9.2366,-6.976,37,3.0823,Ridge Regression,0.069453,Ridge Regression; Lasso Calendar Augmented; Lasso Regression,0.069453; 0.068013; 0.068013,1,0.7279
ealost_2024,6,2.055786,9.4889,10.7144,-7.9287,30,2.9189,Ridge Regression,0.075885,Ridge Regression; Lasso Calendar Augmented; Lasso Regression,0.075885; 0.074852; 0.074852,1,0.7922
ealost_2024,7,2.062803,11.0456,12.2069,-8.86,22,2.7273,Ridge Regression,0.082857,Ridge Regression; Lasso Calendar Augmented; Lasso Regression,0.082857; 0.082042; 0.082042,1,0.8624
ealost_2024,8,1.967499,12.5193,13.6402,-9.7356,19,2.633,Ridge Regression,0.087677,Ridge Regression; Lasso Calendar Augmented; Lasso Regression,0.087677; 0.087425; 0.087425,1,0.9036
ealost_2024,9,1.984571,14.0001,15.0975,-10.6265,14,2.4812,Ridge Regression,0.094387,Ridge Regression; Lasso Calendar Augmented; Lasso Regression,0.094387; 0.094196; 0.094196,1,0.9652
ealost_2024,10,1.845117,15.3882,16.471,-11.4699,12,2.4197,Lasso Calendar Augmented,0.104518,Lasso Calendar Augmented; Lasso Regression; Elastic Net,0.104518; 0.104518; 0.095126,1,0.9824
ealost_2024,11,1.673322,16.6545,17.7287,-12.2413,12,2.3971,Lasso Calendar Augmented,0.10732,Lasso Calendar Augmented; Lasso Regression; Elastic Net,0.107320; 0.107320; 0.096933,1,0.9903
ealost_2024,12,1.513496,17.8099,18.8787,-12.9476,11,2.3557,Lasso Calendar Augmented,0.10832,Lasso Calendar Augmented; Lasso Regression; Median Forecast Ensemble,0.108320; 0.108320; 0.105185,1,1.0
ealost_2024,13,1.360402,18.8561,19.9214,-13.5881,11,2.3353,Lasso Calendar Augmented,0.110905,Lasso Calendar Augmented; Lasso Regression; Median Forecast Ensemble,0.110905; 0.110905; 0.104932,1,1.0
ealost_2024,14,1.227419,19.8057,20.8688,-14.1747,11,2.3107,Lasso Calendar Augmented,0.111396,Lasso Calendar Augmented; Lasso Regression; Median Forecast Ensemble,0.111396; 0.111396; 0.105920,1,1.0
ealost_2024,15,1.099111,20.6584,21.7206,-14.6979,10,2.294,Lasso Calendar Augmented,0.113947,Lasso Calendar Augmented; Lasso Regression; Median Forecast Ensemble,0.113947; 0.113947; 0.109793,1,1.0
ealost_2024,16,1.001334,21.4337,22.4967,-15.1786,10,2.289,Lasso Calendar Augmented,0.116371,Lasso Calendar Augmented; Lasso Regression; Elastic Net,0.116371; 0.116371; 0.111801,1,1.0
ealost_2024,17,0.861555,22.1029,23.1669,-15.5874,11,2.3106,Lasso Calendar Augmented,0.116292,Lasso Calendar Augmented; Lasso Regression; Median Forecast Ensemble,0.116292; 0.116292; 0.111390,1,0.9937
