case_id,iteration,convergence_delta,mae,rmse,bias,active_count,weight_entropy,top1_strategy,top1_weight,top3_strategies,top3_weights,dominant_cluster,cluster_weight
hvnc_2024,0,inf,50.2252,71.8997,3.5946,60,3.8014,SVMDirection,0.030344,SVMDirection; Neural Net; Logistic Direction,0.030344; 0.030332; 0.030300,3,0.6109
hvnc_2024,1,4.653073,48.8575,70.5144,2.6692,40,3.3176,Ridge Regression,0.056472,Ridge Regression; Lasso Calendar Augmented; Lasso Regression,0.056472; 0.055253; 0.055253,1,0.5997
hvnc_2024,2,4.423711,47.5829,69.2649,1.8217,40,3.2918,Ridge Regression,0.059225,Ridge Regression; Lasso Calendar Augmented; Lasso Regression,0.059225; 0.057837; 0.057837,1,0.6269
hvnc_2024,3,4.183027,46.3792,68.1212,1.0418,38,3.2328,Ridge Regression,0.062685,Ridge Regression; PLSRegression; Lasso Calendar Augmented,0.062685; 0.060865; 0.060780,1,0.6583
hvnc_2024,4,3.939213,45.2542,67.0859,0.3316,38,3.1853,Ridge Regression,0.06475,Ridge Regression; Lasso Calendar Augmented; Lasso Regression,0.064750; 0.063435; 0.063435,1,0.6837
hvnc_2024,5,3.870141,44.1641,66.1104,-0.3494,37,3.0823,Ridge Regression,0.069453,Ridge Regression; Lasso Calendar Augmented; Lasso Regression,0.069453; 0.068013; 0.068013,1,0.7279
hvnc_2024,6,3.851118,43.0681,65.1558,-1.0095,30,2.9189,Ridge Regression,0.075885,Ridge Regression; Lasso Calendar Augmented; Lasso Regression,0.075885; 0.074852; 0.074852,1,0.7922
hvnc_2024,7,3.957423,41.9484,64.2127,-1.6703,22,2.7273,Ridge Regression,0.082857,Ridge Regression; Lasso Calendar Augmented; Lasso Regression,0.082857; 0.082042; 0.082042,1,0.8624
hvnc_2024,8,3.821593,40.8677,63.3359,-2.3019,19,2.633,Ridge Regression,0.087677,Ridge Regression; Lasso Calendar Augmented; Lasso Regression,0.087677; 0.087425; 0.087425,1,0.9036
hvnc_2024,9,3.884371,39.8413,62.509,-2.9692,14,2.4812,Ridge Regression,0.094387,Ridge Regression; Lasso Calendar Augmented; Lasso Regression,0.094387; 0.094196; 0.094196,1,0.9652
hvnc_2024,10,3.77208,38.9684,61.7841,-3.6005,12,2.4197,Lasso Calendar Augmented,0.104518,Lasso Calendar Augmented; Lasso Regression; Elastic Net,0.104518; 0.104518; 0.095126,1,0.9824
hvnc_2024,11,3.441778,38.1737,61.1544,-4.1797,12,2.3971,Lasso Calendar Augmented,0.10732,Lasso Calendar Augmented; Lasso Regression; Elastic Net,0.107320; 0.107320; 0.096933,1,0.9903
hvnc_2024,12,3.161182,37.4474,60.604,-4.7151,11,2.3557,Lasso Calendar Augmented,0.10832,Lasso Calendar Augmented; Lasso Regression; Median Forecast Ensemble,0.108320; 0.108320; 0.105185,1,1.0
