year,strategy,standalone_pnl,standalone_rank,market_adjusted_pnl,market_adjusted_rank,rank_change,final_weight,weight_variance,max_forecast_correlation,loo_mae_delta,classification
2024,Always Long,51.7042,57,-511.9505,58,-1,0.0,5e-08,1.0,-0.0003,redundant
2024,Always Short,-51.7042,65,-393.6849,55,10,0.0,0.0,1.0,-0.0157,destabilising
2024,Bayesian Ridge,7024.3158,15,4.7139,8,7,0.012197,0.00378058,0.9998,-0.0161,destabilising
2024,Boosted Spread ML,3948.9113,29,-86.3049,17,12,0.0,5.5e-07,0.9999,-0.0078,redundant
2024,Carbon Trend,390.3475,51,-10.78,9,42,0.0,0.0005908,0.9006,-0.0271,destabilising
2024,Commodity Cost,40.4283,60,-639.9617,64,-4,0.0,1e-08,0.9424,0.0019,weak
2024,Composite Signal,4176.7183,28,-786.4373,65,-37,0.0,5.09e-06,0.9642,-0.0085,redundant
2024,Consensus Signal,0.0,61,-159.4341,32,29,0.0,0.0,1.0,-0.0043,redundant
2024,Cross Border Spread,817.1217,48,-255.6814,44,4,0.0,4.1e-07,0.9672,0.0017,redundant
2024,DEFRSpread,749.835,49,-241.6459,42,7,0.0,3.8e-07,0.9672,-0.0115,destabilising
2024,DENLSpread,1194.6683,47,-309.4252,49,-2,0.0,1.1e-06,0.8979,-0.0088,weak
2024,Day Of Week,3840.5633,30,-113.1119,23,7,0.0,2.53e-06,0.9665,-0.0165,destabilising
2024,Decision Tree,6860.2708,21,-101.1596,20,1,0.0,1.65e-06,0.9999,-0.0042,redundant
2024,Diversity Ensemble,6913.2654,19,-274.2019,45,-26,0.0,1.68e-06,0.9999,0.0063,redundant
2024,Dow Composite,5580.3208,26,-240.1809,41,-15,0.0,7.95e-06,0.9665,-0.0171,destabilising
2024,Elastic Net,6983.5483,17,-165.312,33,-16,0.0,0.00051902,0.9999,-0.0056,redundant
2024,FRFlow Signal,728.3708,50,-299.8788,47,3,0.0,2.6e-07,0.9536,0.0041,redundant
2024,Fossil Dispatch,1219.13,46,-539.9853,63,-17,0.0,1.22e-06,0.8693,-0.0173,destabilising
2024,Fuel Index Trend,43.1283,59,-219.9079,39,20,0.0,1e-08,0.9625,-0.0114,destabilising
2024,GBMNet Demand,7096.2617,10,-120.7689,25,-15,0.0,1.77e-06,0.9999,-0.0199,destabilising
2024,Gas Carbon Joint Trend,311.6313,54,-83.8372,16,38,0.0,0.0,0.9998,0.006,redundant
2024,Gas Trend,-49.8242,64,-380.3199,53,11,0.0,0.0,0.9625,-0.0008,redundant
2024,Gradient Boosting,7147.9875,4,-128.4022,26,-22,0.0,1.79e-06,1.0,-0.0204,destabilising
2024,KNNDirection,5776.9667,24,-80.1471,14,10,0.0,1.17e-06,0.9999,0.0019,redundant
2024,Lag2Reversion,2200.325,40,-21.8498,10,30,0.0,0.00454736,0.6601,0.0035,weak
2024,Lasso Calendar Augmented,7134.8558,6,43.5989,5,1,0.11281,0.00572494,1.0,0.007,redundant
