id,label,converged,n_iterations,final_delta,mae,mae_iter0,n_spikes,alpha,weight_mode,weight_cap,price_mode,init_strategy,running_avg_k,convergence_window,adaptive_alpha,year,elapsed_s
BASE_w3,Baseline window=3,False,200,81.42237121212277,19.392170387370687,15.096556230800466,199,1.0,linear,1.0,mean,last_settlement,,3,,2024,0.17
B1_a01_w3,B1 alpha=0.1 window=3,False,200,7.187838829761809,10.295878823352464,21.258361283919516,187,0.1,linear,1.0,mean,last_settlement,,3,,2024,0.06
B1_a02_w3,B1 alpha=0.2 window=3,False,200,3.7692387504824794,10.288593406655572,20.50500945815643,199,0.2,linear,1.0,mean,last_settlement,,3,,2024,0.06
B1_a03_w3,B1 alpha=0.3 window=3,False,200,6.838814429511274,10.253174352974863,19.76654487747304,199,0.3,linear,1.0,mean,last_settlement,,3,,2024,0.09
E1_ravg5_w3,E1 K=5 window=3,True,40,0.004251377772895637,10.851770483944202,15.096556230800466,18,1.0,linear,1.0,mean,last_settlement,5.0,3,,2024,0.02
F2_ravg7_w3,F2 K=7 window=3,True,86,0.006663428228620205,10.581356683935168,15.096556230800466,38,1.0,linear,1.0,mean,last_settlement,7.0,3,,2024,0.03
F2_ravg10_w3,F2 K=10 window=3,False,200,0.02346608629761704,10.484153044511292,15.096556230800466,95,1.0,linear,1.0,mean,last_settlement,10.0,3,,2024,0.07
F2_ravg15_w3,F2 K=15 window=3,False,200,6.867710941407466,10.248176021755302,15.096556230800466,95,1.0,linear,1.0,mean,last_settlement,15.0,3,,2024,0.08
F2_ravg20_w3,F2 K=20 window=3,False,200,0.02576138808012729,10.316365090308498,15.096556230800466,87,1.0,linear,1.0,mean,last_settlement,20.0,3,,2024,0.07
F2_ravg7_w1,F2 K=7 window=1,True,51,0.004905402675916548,10.58390211429507,15.096556230800466,26,1.0,linear,1.0,mean,last_settlement,7.0,1,,2024,0.02
F2_ravg10_w1,F2 K=10 window=1,True,61,0.008508547315017267,10.421629339017187,15.096556230800466,38,1.0,linear,1.0,mean,last_settlement,10.0,1,,2024,0.03
F2_ravg15_w1,F2 K=15 window=1,True,131,0.009710031791939855,10.262418523465529,15.096556230800466,69,1.0,linear,1.0,mean,last_settlement,15.0,1,,2024,0.05
F2_ravg20_w1,F2 K=20 window=1,True,176,0.007829675633701072,10.316146946884944,15.096556230800466,79,1.0,linear,1.0,mean,last_settlement,20.0,1,,2024,0.06
F3a_adaptive,F3a adaptive-alpha (1/(1+d/5)),False,200,23.859731902235204,10.446384397131068,20.50500945815643,199,1.0,linear,1.0,mean,last_settlement,,3,inverse,2024,25.78
F3b_polyak,"F3b Polyak step (min(1, 0.01/d))",False,200,21.426403463114415,11.152137594908021,22.01895719489982,100,1.0,linear,1.0,mean,last_settlement,,3,polyak,2024,20.91
F3b_polyak_w1,F3b Polyak step window=1,True,1,0.0,22.01895719489982,22.01895719489982,0,1.0,linear,1.0,mean,last_settlement,,1,polyak,2024,0.1
